Name
Michael Caton-Jones
George Lucas
Stephen Hopkins
Stephen Sommers
Rob Cohen
Chuck Russell
Baz Luhrmann
Anthony Minghella
Mike Figgis
Brian Helgeland
Frank Marshall
James McTeigue
Paul Schrader
Jon Turteltaub
Chris Columbus
Roger Spottiswoode
Albert Hughes
Joe Johnston
Scott Derrickson
Justin Lin
John Dahl
Taylor Sheridan
Ron Shelton
Garry Marshall
Simon West
Jan de Bont
John McNaughton
Stephen Norrington
Gus Van Sant
Jim Henson
Scott Cooper
Adam Wingard
Guy Ritchie
Marc Forster
Bryan Singer
Kevin Costner
David Gordon Green
Judd Apatow
Sylvester Stallone
Terry Gilliam
John Milius
Lana Wachowski
Paul Greengrass
Alex Proyas
Duncan Jones
Roland Emmerich
Spike Jonze
Chris Weitz
Peter Farrelly
David Zucker
Mel Brooks
M. Night Shyamalan
Tarsem Singh
Gaspar Noé
Alexandre Aja
Álex de la Iglesia
Alejandro Amenábar
Xavier Gens
Ted Kotcheff
Russell Mulcahy
Brian Trenchard-Smith
Richard Franklin
Simon Wincer
Fede Alvarez
Clive Barker
Tom Holland
Don Coscarelli
Steve Miner
Brian Yuzna
Mark L. Lester
Dwight H. Little
Eli Roth
Isaac Florentine
Charles Band
Jim Wynorski
David DeCoteau
Joseph Zito
Richard Stanley
Fred Dekker
George P. Cosmatos
Fred Olen Ray
Albert Pyun
William Lustig
Michael Winner
James Isaac
Kevin Connor
Anthony Hickox
Sean S. Cunningham
Rob Zombie
Cirio H. Santiago
Herschell Gordon Lewis
John Lasseter
Don Bluth
Ralph Bakshi
Dean DeBlois
Andrew Stanton
Pete Docter
Ron Clements
Gary Trousdale
Rob Minkoff
Lee Unkrich
Wolfgang Reitherman
Anatole Litvak
Vincent Sherman
Stanley Donen
Archie Mayo
Arthur Penn
André De Toth
George Sidney
Delmer Daves
George Marshall
Terence Young
Guy Hamilton
Lewis Gilbert
John Glen
Roy Del Ruth
Joshua Logan
Martin Ritt
Mark Robson
Robert Rossen
Gene Saks
Richard Fleischer
J. Lee Thompson
Franklin J. Schaffner
John M. Stahl
Robert Altman
Michael Cimino
George Roy Hill
John Boorman
Alan J. Pakula
Clarence Brown
Norman Taurog
Erich von Stroheim
Frank Borzage
Allan Dwan
Karl Freund
Paul Leni
Fred Niblo
William Castle
Peter Bogdanovich
Neil Jordan
Mike Leigh
Peter Yates
Alexander Mackendrick
John G. Avildsen
Robert Mulligan
Norman Jewison
Sydney Pollack
Nick Cassavetes
Pedro Almodóvar
Bernardo Bertolucci
Jean-Jacques Annaud
Fernando Meirelles
Alain Robbe-Grillet
Ken Russell
Abel Ferrara
Jim Jarmusch
Mikael Håfström
Luca Guadagnino
Yorgos Lanthimos
Ronny Yu
Wei Lo
Jimmy Wang Yu
See-Yuen Ng
Ringo Lam
Chia Tang
Daniel Lee
Teddy Chan
Clarence Fok
Hideo Nakata
Ryûhei Kitamura
Nagisa Ôshima
Kaneto Shindô
Masahiro Shinoda
Kihachi Okamoto
Kon Ichikawa
Shin'ya Tsukamoto
Hiroshi Teshigahara
Ishirô Honda
Toshiya Fujita
Shun'ya Itô
Yasuharu Hasebe
Shôgorô Nishimura
Masaru Konuma
Na Hong-jin
Prachya Pinkaew
Timo Tjahjanto
Ruggero Deodato
Aldo Lado
Lamberto Bava
Luciano Ercoli
Massimo Dallamano
Fernando Di Leo
Michele Soavi
Elio Petri
Antonio Margheriti
Damiano Damiani
Sergio Sollima
Enzo G. Castellari
Luigi Bazzoni
Riccardo Freda
Enzo Barboni
Joe D'Amato
Jesús Franco
Roy Ward Baker
Freddie Francis
Jean-Pierre Melville
Jean-Luc Godard
François Truffaut
Luis Buñuel
Louis Malle
Jacques Demy
Federico Fellini
Jean Cocteau
Vittorio De Sica
Luchino Visconti
Giuseppe Tornatore
Michelangelo Antonioni
Krzysztof Kieslowski
Andrei Tarkovsky
Carl Theodor Dreyer
Victor Sjöström
Werner Herzog
Helmut Dietl
Michael Haneke
Chang-dong Lee
Jeong-beom Lee
Seung-wan Ryoo
Nobuo Nakagawa
Mikio Naruse
Shohei Imamura
Katsuhiko Fujii
Hiroyuki Imaishi
Takeshi Koike
Jesse V. Johnson
Leigh Whannell
David Robert Mitchell
Andy Sidaris
Craig Brewer
Kevin Tenney
Michael Moore
